review,sentiment
적정수준 감상은 시즌2까지만..시즌3는 그냥 볼만했구 시즌4는 욕밖에 안나옴. 지독하게 우려먹는 극적상황의 반복 토나오구 신물날정도로 지겹다.한드가 그리워진다는...,0
2015년에 봤지만..역시ㅜㅜ최고네요. 이 영화가 나왔는지도 몰랐는데 우연찮게 접해서..끝까지 몰입해서 봤습니다. 의지..내 의지가 정말 중요하다는..ㅎㅎ,1
"1.전체적스토리와 주연 제외 나머지 인물들의 연기가 너무 오글오글(특히 여자주인공 첫사랑역 남자 대박;;;)2.BGM이 너무 구림.피아노 음악 빼고 다른것들 내가 다 창피결론 : 오로지 야한장면 보는게 목적이면 성공, 그 외의 것을 기대한다면 실패",0
강지환 연기 역시 . 이다희.최다니엘 정소민 진심 다 잘함 . 이 드라마어쩔꺼임 .어쨋든 오늘 끝나고나서 광고 하나 지나갈때까지 멍때렷음.. 어떻게 담주 기다리니.,1
나이값도 못하는 이소라 하차시키길...방송 내내 불만가득한 무표정 너무 불편함... 대만 일일째... 지혼자 방쓰려구 나머지 남녀3명이 한방에 혼숙? 정말 이기의 극치를 달림...한심함...,0
한번도 이런 평점 달아본적이 없는데 진짜 이 영화만큼은 남기고 싶네요 잠자고 있는 그리고 게으르고 겁많은 우리의 모습을 전복시키는 영화입니다 많은 인간중 하나지만 살기 위해서 살아가는 빈센트의 모습은 우리에게 깨달음을 줍니다 꼭 보십시오 인생영화입다,1
"한지민부터 촬영까지 한 폭의 수채화같은 그림, 눈도 호강하고 감성도 잔잔히 스며들지만 전체적인 완성도 자체가 너무 부실",0
왠지 모르게 결말이 씁쓸함. 장르가 코미디지만 웃음 포인트가 거의 없음. 같은 감독에 차승원 주연이었던 선생 김봉두가 시골 배경 영화로서 훨씬 더 훌륭한 메시지가 있음,0
"2년이 지난 지금에서야 봤다. 찌끄레기들 때문에 평점 떨어질 영화가 아니다. 꿈나라 액션, 초딩 영화에 미쳐있는 애들은 평점 쓰지말고 걍 가라. 감독에게 배우에게 박수를 보낸다. 숨어있는 진주. 한시간 반동안 심장을 쥐어짜는 예술이었다..",1
더 맥시멈부터 보기시작해서 오늘 더 세븐을 봤습니다 ㅠㅠ 정말 브금도 맘에들고요 ㅠ 2시간 지루하지않고 재밋게봤습니다 .. 폴워커도 하늘에서 보고 미소를띄지않을까싶네요 ㅠㅠ,1
"분단국가의 특수성을 잘 보여주는 영화, 우리나라 사람과 외국인들 모두에게 그 차디찬 현실을 피부로 느낄 수 있게 해주는 영화라고 생각합니다.",1
VOD로 삼십분보다가 자고 삼십분보다가 자고 삼십분 봐서 다본것같음...그래도 이 영화를 끝까지 보려했던 나의 의지에 10점을 준다.,0
당시 시대의 문제점을 열거하면서도 신박한 영화였다. 그러나 영화가 더러운 장면이 너무 많다. 비위가 약한 사람이나 극장에서 팝콘 먹으며 봤다면 생각만 해도 소름.,0
"전 괜찮게 봤어염,, 상처주는 인간이 더 당당하게 돌아다니는 현실을 비판하면서,,상처를 안고 살아가는 원규,,첨에 호기심으로 봤는데 슬픈영화더군요,,,작품성 있다고 봅니닷,,,",1
대작중에 대작 20년이 지난 지금에서 봐도 영상에서나 스토리에서나 절대 꿀리지 않아요. 오히려 요즘 나오는 작품들보다 훨씬 나은듯~,1
지우일행 새 마을 도착 -> 전설의 포켓몬 등장 -> 악당 등장 -> 족치고 해피엔딩,0
라공 라희 연기못하는거때문에 조연들이 더 빚나는 드라마!! 윤찬이 얼굴 넘크게나와요 노티도 나서 거슬려요 하나랑 안 어울림. 도현이랑 잘되길 바람.,0
애초에 시나리오 자체가 그렇게 나쁜건만은 아니다. 무얼 얘기하는지도 중요하지만 감독이 그걸 어떻게 얘기하는냐도 중요하다는걸 새삼 깨닫게 해준다.,0
불륜 막장 드라마 그만 좀 합시다. 과거 조폭영화 드라마 통해 조폭이 우상시 되어 적지 않은 청소년들에게 영향을 끼친걸로 알고 있는데. 이런 불륜 막장내용으로 불륜 판타지를 제공하고 사회에 영향을 미칠 수 있다는걸 모르시는지. 혹은 알면서 그러시는건지,0
가슴에 너무깊은 여운이남네요. 단순히 메릴스트립을보기위해서 구매햇는데 나라와국민을위해 외롭게싸워온 마가렛대처님의 인생이 너무 감명깊고 대단하시다는생각이드네요 만이배웁니다,1
"그때는 정말 최고의 영화였는데, 지금 어른이 되니 그때만큼의 감동은 느낄수없지만 그래도 그시절 추억을 생각하면 멋진 영화...",1
아무 생각 없이 보려고해도 계속 생각하게 만드는 영화. 내용같은걸 다 빼더라도 화려한 영상에 계속 황홀한 기분이 들었다.오랜만에 진짜 제대로된 영화한편 본 기분이다.,1
"원작을 원문,번역 다 읽었고 나름 이책에대해서 공부도 했었는데 이영화 참 마음에 들었음 시간가는줄 모르고 봤네 이번에 나오는 디카프리오 주연 위대한게츠비도 기대중",1
자식 잃은 슬픔을 잘 표현한 영화이다. 자식을 키우는 부모에게는 더욱 큰 감동을 주는 것 같다. 평펑 울다가 자는 아이들 얼굴 쓰다듬고 감사의 기도를 했다.,1
"집에서 봐도 이 정돈데, 극장가서 봤다면ㅜ이건 뭐 이도저도 아닌 억지로 끼워 맞춘 삼류 영화.성경내용이 베이스인데 여기에 환타지+스릴러 까지 껴맞추느라 애썼다.",0
처음에 딱 보기싫은 전형적인 블랙코미디물인줄 알았다가. . 류승범때문에 한번 보게 됐다. . 그렇지! ! 코메디는 이래야지ㅋ 억지 코메디가 아닌 구성과 스토리. . 거기에배우들의 연기. . 이런게 대한민국 코미디영화 아닌가싶다. 김옥빈 연기 안이상하다,1
절대로보지마라 절대로 두번보지마라 이건b급영화중에서도 최최하위 영화다 영화내내 으악 악~~ 비명만지르다끝난다 괴물도딱3마리나온다 웃긴게 잘싸우던주인공이 도망만댕기다 나중에 맨손으로괴물때려잡는다 하여간보지마라 .,0
하 영화보면서 울었던 적은 처음... 진심 이런 개와 주인 사랑합니다.개가 역시 사람보다 나을떄도 있네요..,1
최소한의 재료로 최대한의 공포를 이끌어낸다. 영화가 나온진 30년도 더 지났지만 번뜩이는 재능과 젊은 도전정신이 결합되어 만들어낸 최상급의 공포는 여전히 갓 만들어진듯 신선하다.,1
억지감동+벡터맨수준 유치함이 빚어낸 최악의 영화. 마블/디씨 코믹의 화려한 액션이 판치는데 이런 유치뽕짝 80년대 히어로물이 될거라고 생각했나? 밤낮에 따라 다른 억지감동 히어로물은 이미 반칙왕에서 써먹었던거 아닌가? 이건 한국영화 역사의 퇴행이다,0
한국공포영화의 최고봉!! 여자의 곡하는소리는 전세계모든 귀신들도 덜덜 떨며도망갈것같다. 혀를 길게 내뺀 시어머니의 몰골은 가히 충격적이다.,1
짜증나는 드라마. 발생하는 사건마다 개연성도 없고 인물들의 행동은 보통 사람들이 이해할 수 없는 비정상적인 행동들만 보이고 있다.,0
진짜 노잼.. 시끄럽긴 엄청 시끄러운데.. 이해할 수 없는 영화.. 기승전결 어느거 하나 매끄럽지못하고 채널CGV에서 틀어준걸보고 알게된 영화라 다행이다.,0
"""내용 자체가 여성비위 맞추기용 3류 영화. 결혼해 준것만으로도 감지덕지니 그냥 입 다물고 살아라?? 소위 """"김치녀""""의 표상이라 할만한 여주인공과 호구중의 상호구 남주, 거기에 컨셉부터 징그러운 조연까지. 자극적인게 땡기면 차라리 야동한편을 봐라.""",0
오랫만에 집중해서 본 영화인것같다 보는 내내 시간가는줄모르고 보고나니 어느덧 자정이 다되갔네.보고 나서 여운이 많이 남는다,1
"개봉 당시 나도 주인공들의 또래여서 이 영화의 감동은 정말 대단했었다. 지금 생각해 보면, 그 감동으로 어느 정도 힐링되었던 것 같다. Extraordinary. Ace. Daring & Caution. What is the poetry? Come.",1
"태조 이성계역을 맡아던 김무생의 압도적인 카리스마가 돋보였던 대하드라마, 당시 이방원역을 맡았던 유동근이 15년이 지나 이성계역을 한다는데 기대되긴한다.",1
"신예감독?? 저예산영화도 줄겁고 재밌을수있다.라는 상식을 깬 영화. 구냥 외국영화 따라만든 현실성제로, 몰입감제로, 특수효과제로, 출발비디오여행에 한번 안나왔으면 존재감없었겠지.",0
이렇게 재밌는 영화는 또 나오지 못할 것.웃기고 귀엽고 약간 슬프고 어쩌면 인생사 허무함을 알려 주기도 하는 영화.아베 사다오의 호감도를 상승시켜주는 몇 안되는 영화,1
휴일낮에 침대에누워서 티비보다가 영화채널에서 틀어주길래 어쩔수 없이 봤는데 나중에는 벌떡 앉아서 봤던 영화.!완전 몰입되고 나름 스토리도 치밀하고 해리슨 포드다운 액션- 좋습니다. 저는 영화광도 영화 평론가도 아니고 영화 자주보는 일반 남자사람임,1
"폭풍 속으로를 보며 키아누 리브스가 세상에서 제일 잘생겼다고 생각했다. 연기도 잘하고 멋있고, 영화 자체도 좋았다.",1
"딱 한마디면 된다. 총체적 난국.시작부터 배우들 연기에 실망하고, 뭐에 힘줘야할지 모르는 감독의 연출력에 실망하고, 특이한 소재 못살리는 시나리오에 실망하고, 심지어 음악까지 실망한다.이걸 끝까지 본 자신에게까지 실망하게 될지도...",0
여기에 글남기는거 처음인데 진심으로 가슴에 울림이 와닿은 적은 처음이었어요.이승환 마지막 노래듣고 눈물을 펑펑 무한반복재생이네요 오늘부터 이승환팬 할꺼에요,1
최고의 영화입니다. 여러번 곱씹으면서 보세요. 감독이 숨겨진 디테일을 찾는 재미가 있는 영화합니다. 권력의 본질에 대한 연작이라는 점을 상기하면서 보는게 좋은 듯 하네요,1
평점과 예고편에 낚여 보지 마시길 추천드립니다. 그냥 처음부터 끝까지 존ㄴ ㅏ 재미없습니다. 이도저도 아닌 액션에 별기대도 안되는 예상되는 전개들에 존ㄴ ㅏ허무한 중후반 전개들. 그냥 B급 영화임.,0
말학대같아서 별로네요 내말내가죽이겟다는데 ㄷㄷ이럼 극현 .. 비추영화임 감동을 무기로 그냥말학대임 .. 실화라던대 그냥말학대죠 ..,0
그래서 주인공이 꿈인데 왜 살아남는거지? 왜 안경안쓰면안보이는데손목상처는없지 오웬은 찔려죽은건데 그전의 달리기는 무슨힘으로 뛴거지 가시나무는 가시코스프레인가 달릴때 바닥 가시나무인데 신발없이 전력질주하고 트집잡으면 끝도없네 총체적난국을 잘 표현한영화,0
"닥터가 데이빗 테넌트에서 맷 스미스로 바뀌고 작가도 러셀 t 데이비스에서 스티븐 모팻으로 바뀌었지만, 여전히 훌륭한 퀄리티와 재미. 그리고 발전한 CG기술력이 이목을 끈다. 여태까지 그래왔고 앞으로도 다신 없을 우주에서 제일 재밌고 완벽한 시리즈.",1
너무 일찍 만들어진영화 지금시점그래픽과 영상과 각본으로 만들어졌다면 더욱흥행했을 그런영화 현시점 마블이나 DC에 히어로물 영화가 집중되는시점에나왓더라면,1
뱁새가 황새의 마음을 어찌 알리요. 아름다운 영상미와 두 남녀 사이의 사랑만이 가득한 보기드문 역작이다. 그리고 일반적인 상식을 뛰어넘는 숭고한 사랑이 이루어진 걸작이다. 이 만난지 이틀만에 손잡고 모텔가는 싸구려 썸이 넘쳐나는 시대에 순수한 사랑이,1
옛날 이거 국내 개봉당시 국민학생때였던 동네 3류극장에서 본 기억이 난다! 정말 재미있게 본 영화!!! 시고니위버가 여성스럽고 이쁘게 나온 유일한 영화였지 ㅋㅋ,1
내가 챙겨보는 드라마 딱 하나 빅맨임 왜 시청률이 8%일까 .. 왜때문에... 근데 강지환은 돈의화신도 그렇고 역할이 비슷비슷 ㅋㅋ 재밌어요 다들꼭보길 강추,1
허접한 극본과 강렬한 연출이 대비되는 작품.너무 허접하기 짝이 없는 극본 때문에 등장인물들이 연기를 잘해도 재미의 반감만 가득해질 뿐이다.차진수역에 박해준씨가 제일 기억에 남는다.,0
더빙 진짜 최악임 방금 CGV에 해서 봤는데 더빙이 너무 최악이라 누가 성우였는지 찾아보려고 들어왔음 와...,0
2년전에 본 일드인데 아직도 기억이 새록새록.. 따뜻한 가족애가 심금을 울리는 좋은일드.. 사쿠니노ㅋ의 연기도 좋았습니다~^^,1
본다본다하다가 드디어이틀만에 다 봤네요..정말 현실적이고 또 너무 예쁜 연애를 그린 최고의드라마가 아닐까 열매처럼 사랑받으러 때쓰던 내모습이 생각나서 한참울면서 봤어요ㅠㅠ 헤어진 남친이 너무 보고싶어지네요 흑흑다시사랑하고싶게 만드는 드라마!!!,1
기대 안하고 봤는데 막상 보면 '어? 꽤 재밌는데??' ㅋㅋ근데 정말 이 영화 만드는데 1억으로 해결했어요??,1
제가 언제 광주는 폭동아니라고 말이나 했습니까? 오늘따라 노 고무현 대통령님이 그립습니다 홍어택배 배달하러 땅크 시동겁니다 부릉부릉~~~~,0
"일단 주인공부터 시작해서 주변인물까지 모두 개판이다,주인공은 한마디로 순정만화에 나오는 캐릭으론 좋겠는데 이성적으로 판단해보자 강윤재란 인간의 상처를 치료해줄순 있어도 다시 다른사람에게 상처를 주는 인간상인거다.상처를 2명이나 주게 된 꼴이 된것.",0
이 좋은 소재를 가지고 이 정도의 결과물 이라니. 감독 면상 좀 봐야 겠네. 평점 7.0,1
중학생일때 보았던 영화같은데 지금도 가끔씩 봅니다. 보면 볼수록 가슴이 답답하고 여운이 남는 영화루 기억되네요,1
의외로 재미있고. 의외로 세련된 영화. 70년대 영화라는걸 알고서 놀랐다. 그때나 지금이나 젊은이들 사는 모양새는 비슷하구나...,1
허술한 극의 진행...메세지가 너무 적나라 하게 드러나 오히려 민망한 영화...메세지 자체도 사실 동의 할 수 없다는...,0
엔도 슈사쿠가 쓴 '왕비 마리 앙투아네트' 책 읽고 이 영화 보니 이건 그냥 프랑스 드레스 입고 하이틴물 찍는 것처럼 보이네요-_-,0
"작품성, 현실성으로 승부해야 할 다큐무비였다. 한국에 수입되며 상어나오는 B급 여름 스릴러처럼 마케팅해 커플들이 껴안을생각으로 영화관 갔다가 뒤통수 맞으니 환불이나 요청하지. 조난에 대한 현실성은 10점을 줘도 아깝지 않은 안타까운 수작이다.",1
저예산 영화든 제한된 공간이든 상관 없이 영화자체가 지루하고 재미없다.재미있게 본 사람들은 뭐라할 생각은없지만 평을 보고 영화를 볼 사람들 생각도 해줘야지...너무 무책임하네...,0
간만에 예술성 있는 작품하나 봤네요. 저가 수준이 좀 떨어져서 할리우드쪽 아니면 재미를 못 느끼는데 멍 때리고 자막 끝날 때까지 지켜봤습니다. 호불호가 나뉠 수는 있으나 흥행 위주의 작품은 아니지만 볼만은 합니다. 추천이요~,1
개봉한지 얼마 안 된 5.28 개봉작인 줄은 모르고 VOD로 봤는데 망해서 엄청 빨리 VOD로 나왔나봄. 실망시키지 않는 망작의 느낌이 2시간 가까이 이어졌다.,0
뭐야 평점들이 왜그러지.. 나름 반전도 있고 괜찮았는데.. 근데 확실히 코미디는 다른영화에 비해 부족한편ㅋ... 1점 주면서 알바니 뭐니 까지 할 정도는 아닌듯,1
"이소룡, 성룡 시대를 거쳐 이연걸이라는 걸출한 스타를 배출한 영향력 있는 감독이기는 허나, 자만한 탓일까 이 작품을 끝으로 대충 만들다 만 듯한 후속작이 무덤을 판듯 ㅋㅋ 황비홍에서 정점 .칼로 마무리",1
"진부하다. 개연성도 많이 떨어지는 장면도 많고, 예전에 있었던 사건때문에 얽힌 관계나 감정의 파편은 보는 사람이 공감하기 힘들다.",0
정신나간 돌아이 연쇄살인자 이야기. 주인공에게 관심이 가기 보다는 쓸데없이 죽어나가는 여자들이 더 불쌍했다. 저 새퀴 빨리 좀 잡히지 하면서 봤음.,0
김강우 라는 배우가 이렇게 짜증나게 연기 하는지 처음 알았다. 진정한 발연기의 신이다!올해본 최악의 영화 1위 인정!티비에서 공짜 영화보다 열받긴 첨이네 ㅡㅡ^,0
"최소한 영화라면 이유가 있어야 한다. 휴머니즘 메세지라던지, b급 유혈낭자로 공포를 주던지, 섹슈얼보여주고자 자극적이던지,하다 못해 그냥 흥미있고 재미라도 있어야 한다. 근데 이건 아무것도 없다. 개나 소나 쓸수 있는 시나리오에 어후 성괴들 잔치하니~",0
7월24일에 개봉한 영화의 댓글이 15개. 그것도 감독 등 제작진들의 댓글이 절반 이상. 이 영화를 돈 주고 본 사람들이 거의 없다는 것이 그나마 다행,0
"정말 매년마다 보고싶어서 저절로 봤던거 또보고 또보고....아무리 봐도, 내용을 이미 다 알아도 그재미가 그대로 있고 사라지지 않는 영화인듯하다.로코영화중에 이게 최고인듯",1
어떻게 이런 명작이 평점 6점대의 저평가를 받을 수 있지?... 이렇게 여운이 깊게 남는 영화 정말 오랜만에 본다.,1
재미있었네요. 중간중간유치한듯한 특수효과 설정이있었지만 감동적이네요. 마지막에는 작약이라는 여주인공과 헤어지는 장면에는 배경음과 더불어져 눈시울이 젖었습니다. 남자인데도 눈물이 뚝뚝^^; 다음에 또 봐야겠어요,1
화려했던 액션인 옹박이 B급 싸구려 액션으로 전락해버리는 영화가 안타깝다. 한 때 유망했던 액션 배우 토니 자는 그저 한물간 배우가 되어 버린 것 같다.,0
아프간은 그 당시 여행금지국이 아니었기에 선교갈 수 있었다. 영화 평론에 좀 더 객관적이어지길. 일단 종교적인 색채를 빼고 보아도 충분히 인간의 고뇌와 갈등이 묻어나오는 영화이다. 역시 이장호 감독은 거장이 맞았다.,1
배우들이 아니면 보지않는게 상책인 영화 아무리 판타지라고 사랑이라고 포장은 하나 절대 말도 안되는소리연애는 둘이서 할지언정 결혼은 말도 안되는거 배우들에게는 미안하지만 정말 쓰레기 영화임,0
남자를 전부 범죄자로 모는게 제일 맘에 안들고배우들 연기도 어색하고 개연성도 심하게 떨어진다.그냥 저급한 영화..,0
"이 느낌, 이 생각 기억할꺼야. 내가 살아있는 동안. 변종 괴물. 나도 변종 괴물이 되어 살아갈 수 있을까? 현실에 맞설 수 있을까? 생존할 수 있을까..",1
"도대체 실체가 뭘까 했는데 역시나 과거의 트라우마, 죄책감, 무력감... 그럴 줄 알았어. 자식 잃은 부모의 상실감... 역시나 그게 메인이군. 시덥잖은 온갖 환영들도 새로울 것 하나도 없고... 엔딩부분은 임팩트가 있는 편. 식상한 영화.",0
애 딸린 발정난 유부년이 왠 사진찍는 놈팽이하고 질싸얼싸까지 함. 불륜을 미화한것도 모잘라 마지막에는 자식들한테 훈장질까지 함. 개역겨웠음 골빈 김치년들이 사랑이니 뭐니 감성팔이 하는 걸 보니 씹소오름,0
창업을 꿈꾸는가! 좋은 아이템이 있어 사업을 하려하는가!! 그렇다면 기를 쓰고 이 영활 보기바란다!! 그 멀고 험한 여정에 스승이 될것이요 지침서가 될것이다... 혹은 단념에 도움이 될지도... 참 오랜만에 박장대소하며 본 독립영활세~~~ ★,1
"볼거리를 오직 성룡의 액션으로만 채웠는데, 처음엔 흥미롭지만 끝날 땐 지루하다. 전형적인 캐릭터와 붕괴 직전의 스토리 그리고 시대착오적인 요소들이 너무 많다.",0
흠.. 평점이 지나치게 박한것같은데 나름 잘 만든 영화라고 생각합니다. 무엇보다 불꽃놀이때 등장인물각각이 동시에불꽃놀이를 보는 그 짧은 장면에서 각각의 심리가드러난 장면은 압권이라고 생각합니다. 그리고 이정도면 부산사투리양호해요..범죄와의전쟁은뭐...,1
내가 나이가 아직 안돼서 공감을 못하는건지는 모르겠지만 보는내내 여주때문에 짜증만 났던 영화 주변사람하고 톰한테 피해만 주고....마지막장면은 무슨 의미가 있는건지 잘 모르겠지만 보면서 짜증났던 영화,0
"줄리아 로버츠 때문에 억지로 봤다. 스토리는 중심을 제대로 못잡고 왔다갔다 산만하다. 집중이 안된다. 반면 복식,고증은 완벽하다. 제작진들에게 박수를 보낸다. 배우들의 연기도 뛰어나고.. 감독의 산만한 스토리,연출이 모든걸 망친 영화.",0
별기대 없이 봤는데 몰입도 최고~! 촬영방식도 신선하고 좋았음. 단순한 내용이긴해도 그걸로 이정도 긴장감을 만든다는건 대단하다고 생각함,1
알렉산더 페인 감독은 바보같고 한심해보이는 주인공을 따뜻하게 바라본다. 삶이란 것도 와인처럼 결국 오래두고 숙성된 후 마개를 따봐야아는 것이다.,1
은주 죽는 모습 완전 마인크래프트에서 스티븐 죽는거같음 뭐야진짜 ;; 스토리도 쓰레기고 차라리 고사2가 낫겟다,0
"어제 다운받아서 봄 소재는 굉장히 신선했으나 연출과 스토리의 부자연 스러움은 굉장히 아쉽네요 마지막에 2탄을 암시하는듯한 장면이 나온거 같은데 2탄은 좀더 탄탄한 연출로 재밌게 나왔으면 합니다.(참, 왜 19세불가 인가요?)",0
내가 이거 왜 봤지 싶은데 한예슬이랑 김태희 나와서 본 듯. 적월도 개 쌤 ㅋㅋ,1
이 영화 뭔가요?? 남자인 제가 우연히 dvd구입후 벌써 여러번 보게 만들다니...정말 대학교 1학년때의 모습이 어느정도 보여서 그런지 자주 보게 됩니다^^,1
마지막 패스벤더성님의 비오는공터에서 절규하는장면은 정말 사람마음이 공허하게 만든다 장면 하나하나가 정말 브랜든의 고독과 외로움을 끝까지 느껴주게하는듯하다 기분 우울할땐 절대 보지말아야할영화다 떡신이 좀많은데 꼴리긴커녕 존 나 슬프다,1
"우와,,, 정치 사랑 가족 일대기 실화,, 역사를 이렇게 감동있게 풀어냈네요,, 그런 열악한 현실에서 두려움없이 나아가는 모습에 또감동,, 근데 우리나라에 비슷한 유형을 갖다 비교하는 사람은 머냐? 커튼 뒤에서 민주주의를 외치는 사람이랑 비교하다니",1
시나리오만 본다면 뭔가 그럴듯 할거 같은데영화를 하기에는 많은 내용을 담기에는 한계를 보여준 영화연계하는 과정이 억지스러운면도 많았고막장드라마를 연상시킨 영화,0
만듦새는 확실히 좋으나 결국 쓰레기 양아치들의 이야기라 마냥 찬양하기 씁쓸하다. 우리나라로 치면 조폭미화 아닌가? 이걸보고 마피아가 멋있다란 생각은 버려야할것이다,0
"우리가 주변 삶의 아름다움을 찾아보고 또 잘못된 문제에 직면함에 있어서, 나이는 아무것도 아니겠지요. 소녀에게 상처를 줬음에도 전혀 반성을 못하는 손자를 경찰 손에 맡기는 할머니 모습이 아름다웠습니다.",1
쏴야할 때 쏘지 않고 쏠 수 있을 때 쏘지 않으며 캐릭터들의 행동과 성격변화에 공감할 수 없는 이상한 영화.,0
별점테러 초딩이다 길을 비켜라~ 엄마 아뒤다 이영화에 내가별점 1/2점을 선사하겠노라! OO년들아 저걸 영화라고 하냐?영화감독아 이준석도 너보단 나아 저건 초파리도 안보겠네 OOO들아 한동호야 너 초딩이지? 니 면상 못생겼으니 성형수술이나 하고오셈,0
"왜그랬는지.이유가 나온다.그래야 이해할수있을테니까.이유가 없다면 이나라에선 그냥 불륜녀.성격파탄자.반사회주의자.이렇게 불리겠지. 누구나 이유없고.사연없는사람없다. 누가누굴 욕하겠으며, 그럴 자격들이 있을까..",1
근데...육아프로램에서 추성훈동생 남자친구를 왜이렇게 흥미진진하게 자막을 쓰시는지...아니 무슨 드라마처럼 조연으로 나오면 될것이지 왜 꼭 주연처럼 나오는지..주연은 사랑인데..,0
배우들의 연기력 여부를 차치하고라도.. 이 정도 개런티 받는 배우들로 해외촬영해서 이 정도 퀄리티 뽑아낸 것도 능력이라면 능력이다.. 그 능력에 감탄해서 별 1개 더준다...,0
전 81년생 이라서 이영화 못보았지만 저희 어머님께서 어린시절에 외할아버지 외할머니 하고 이영화 마지막장면 보고 우셨다고 합니다.,1
우리에게 행복을 가져다 주는 이들보다 끔찍한 이들이 더 많은 게 현실이다. 우리를 행복하게 해주는 사람들과 함께 하는 것도 중요하지만 그보다 더 중요한 것은 나 스스로 행복해져야 한다는 것이다. 스스로 행복한 사람이 타인도 행복하게 만들 수 있다.,1
예고편보고 재밌을거 같았지만 너무 재미없게 만든 영화다. 소재며 여배우도 괜찮은데 연출력과 대본 문제인 듯.,0
퍼버릭 에너미 No1 참 열심히 제작한 액션물치고는 상당히 수작인데 평점이? 네이버 평점은 정말이지 난공불낙이다.,1
우리는 이 영화를 비판할 자격이 없다. 범사에 감사하며 살아야한다. 현실은 영화 이상의 또 다른 지옥일것이다...,1
뭐랄까 말로는 표현이 힘든데 보고나면 느끼는게 많고 뒤돌아보게 되네요. 길지도 않고 안 보신 분들은 한번쯤 보면?괜찮을것 같아요.,1
영화 내내 펼쳐지는 이쁘고 정교한 영상도 그간 봐 왔던 현학적인 수사와 '그래서 어쩌라고?' 식 갸우뚱한 결말때문에 찝집하고 더러운 기분만 남았다. 차라리 글로 쓰지 굳이 영화화 할 필요가 .. 중반까지는 그래도 혹시나 했더니 역시나 박찬욱...,0
본지10년이 넘어지만 음악관련 영화를 추천하라면 꼭 추천순위에 넣는 영화.4명의 여성탈옥수들의 각자 맘속에 있는 자유를 음악으로 표현한다.옥상게릴라콘서트씬은 정말 짜릿한 전율을 준다.뮤지컬로도 만들어질 만큼 ost는 정말 좋고 숨겨진 로드무비의 명작!,1
"영화 보는 내내 지루할 틈이 없었을 정도로 흑백무성영화임에도 아름답고, 때론 유쾌하면서도 전체적인 이야기를 긴장감 있게 잘 풀어낸 것 같습니다. 재미있게 잘 봤습니다 ^^",1
